SampleNumber,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,Target Label
37,2.68,6.57,1.59,2.61,0.06,1.64,0.78,0.65,0,69.6,60.6,59.1,22.16,15.9,13.21,1.04,0.39,30.4,4.3,3.6,V1
38,3.6,7.63,1.82,2.96,0.08,1.63,0.78,0.67,0,52.3,50.2,50.2,9.66,7.32,6.94,0.32,0.09,24.4,1,1.8,V1
39,3.1,7.1,1.55,3.03,0.06,1.95,0.77,0.66,0,58.2,46.4,49.1,10.94,6.57,7.28,0.02,0.01,24,6.4,1.6,V1
40,3.17,7.1,1.5,3.06,0.07,2.04,0.79,0.69,0,57,52.4,53.7,9.98,8.07,8.38,0.47,0.15,26,2.6,1.2,V1
41,3.15,7.1,1.55,3.03,0.06,1.95,0.79,0.67,0,182.5,181.7,154.4,11.7,14.12,13.75,0,0,75.7,1.6,10.3,V2
42,3.93,8.02,1.71,3.35,0.06,1.96,0.77,0.69,0.01,176.9,165.3,136.5,8.18,12.32,15.27,0.04,0.01,71.1,4.6,13.4,V2
43,4.21,8.18,1.78,3.43,0.07,1.93,0.79,0.69,0.04,182,170.7,139,7.56,10.49,11.42,0.01,0,72.8,4.3,14.5,V2
44,3.37,7.32,1.52,3.18,0.04,2.09,0.79,0.7,0,183.2,177.4,147.8,7.01,10.82,12.82,0.01,0,74.6,2.9,12.3,V2
45,4.13,8.06,1.69,3.43,0.05,2.03,0.8,0.71,0.01,182.7,175.7,145.1,12.14,15.04,14.11,0.01,0,74.1,3.2,13.1,V2
46,3.68,7.73,1.61,3.35,0.06,2.08,0.78,0.68,0,172,162.1,134.8,8.77,11.28,13.53,0.01,0,69.9,4,12.6,V2
47,3.82,7.68,1.69,3.27,0.06,1.93,0.81,0.69,0.01,175.1,168.4,143.1,19.83,19.75,15.95,0.16,0.04,71.8,3.4,10.8,V2
48,3.54,7.44,1.61,3.18,0.07,1.98,0.8,0.69,0,181.1,173.3,145.4,8.09,10.31,11.7,0,0,73.4,3.7,11.9,V2
49,3.88,7.88,1.66,3.32,0.05,2,0.79,0.7,0,164.8,159.8,138.5,11.66,13,12.86,0.01,0,68.8,2.9,9.1,V2
50,3.53,7.44,1.61,3.18,0.04,1.98,0.8,0.69,0,175.9,165.3,131.9,14.95,16.04,14.3,0.09,0.03,70.9,3.7,15.7,V2
51,4.45,8.47,1.78,3.6,0.06,2.03,0.78,0.7,0,174.1,167,139.3,14.32,15.66,13.57,0.07,0.02,71.3,3.2,12.2,V2
52,3.99,7.99,1.61,3.43,0.04,2.14,0.78,0.72,0,179,169.4,139.3,9.4,12.75,14.02,0.03,0.01,72.2,3.9,13.6,V2
53,4.28,8.3,1.78,3.52,0.05,1.98,0.78,0.68,0,176.2,167.4,139.4,9.13,14.13,16.24,0.02,0.01,71.6,3.8,12.5,V2
54,3.65,7.66,1.52,3.35,0.05,2.2,0.78,0.72,0,179.1,171.5,147.5,7.43,10.62,12.4,0.01,0,72.9,4,10,V2
55,4.31,8.52,1.69,3.69,0.03,2.18,0.75,0.69,0,174.1,163.9,136.1,9.62,13.51,16.5,0.01,0,70.5,4.2,12.8,V2
56,3.89,7.85,1.61,3.43,0.06,2.14,0.79,0.71,0,174.2,166.7,137.8,14.57,16.22,14.4,0.06,0.01,71.2,3.2,12.9,V2
57,4.56,8.35,1.85,3.52,0.05,1.9,0.82,0.7,0,178.8,174.4,147.6,11.26,16.52,17.96,0.05,0.01,73.6,2.6,10.9,V2
58,3.48,7.44,1.62,3.18,0.05,1.96,0.79,0.68,0,179.2,168.3,133.6,6.47,9.31,10.59,0,0,71.9,3.8,16.2,V2
59,3.69,7.61,1.61,3.27,0.06,2.03,0.8,0.7,0,166.7,158.4,137.1,10.42,11.55,12.5,0.01,0,68.6,4.1,9.5,V2
60,3.94,7.99,1.61,3.43,0.04,2.14,0.78,0.71,0,176.1,166.4,139.9,11.16,14.51,16.27,0.03,0.01,71.3,4.2,11.9,V2
61,3.96,7.9,1.69,3.35,0.05,1.98,0.8,0.7,0,172.4,163.9,137.6,13.17,13.41,11.62,0.06,0.02,70.4,3.7,11.8,V2
62,3.6,7.56,1.66,3.22,0.05,1.94,0.79,0.67,0,175.2,170.5,144.1,8.92,11.73,13.57,0,0,72.3,2.6,11,V2
63,2.93,7.01,1.44,2.98,0.06,2.08,0.75,0.68,0,176.9,164.4,131.7,13.13,14.02,11.07,0.05,0.02,70.7,4.5,15.6,V2
64,3.43,7.49,1.52,3.27,0.04,2.14,0.77,0.69,0,178.4,170.7,142,10.9,12.21,10.13,0.01,0,72.6,3.4,12.5,V2
65,3.53,7.66,1.52,3.35,0.05,2.2,0.76,0.69,0,178.5,171.6,142.3,9.58,12.14,12.13,0,0,72.8,3.1,12.7,V2
66,4.12,8.02,1.85,3.19,0.07,1.73,0.81,0.7,0,173.2,163.8,134.6,18.57,19.19,15.56,0.19,0.05,70.3,3.7,13.5,V2
67,4.16,8.09,1.82,3.22,0.07,1.77,0.8,0.71,0,169.7,163.7,140.1,15.74,17.04,14.56,0.16,0.04,70.2,3.1,10.2,V2
68,3.91,7.78,1.69,3.27,0.06,1.93,0.81,0.71,0,172.7,167.7,144.6,12.07,12.61,12.04,0.04,0.01,71.5,3,9.5,V2
69,4.41,8.44,1.78,3.48,0.04,1.96,0.78,0.71,0,167.1,158.3,130.3,21.17,22.18,19.8,0.41,0.09,68.4,3.4,13.2,V2
70,4.31,8.21,1.97,3.19,0.04,1.62,0.81,0.69,0,179,170.8,145.8,9.31,13.48,14.35,0.04,0.01,72.7,4.1,10.6,V2
71,4.18,7.75,2.21,2.7,0.05,1.22,0.87,0.7,0,173.4,164,137.1,15.66,17.93,17.42,0.13,0.03,70.5,4,12.2,V2
72,3.8,7.9,1.61,3.43,0.06,2.14,0.77,0.69,0,173,165.7,140.3,9.77,12.56,13.82,0.04,0.01,70.9,3.5,11.1,V2
73,3.9,7.95,1.61,3.43,0.06,2.14,0.78,0.71,0,171.4,157.6,128.1,11.83,13.43,13.12,0.04,0.01,68.6,5.1,14.6,V2
74,4.32,8.28,1.69,3.52,0.05,2.08,0.79,0.73,0,176.2,171.5,142.6,8.5,11.06,12.5,0,0,72.6,2.4,12.3,V2
75,3.28,7.32,1.42,3.19,0.08,2.25,0.77,0.73,0,178.7,167.6,133.7,11.02,15.68,16.05,0.04,0.01,71.7,3.9,15.8,V2
